,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
5780,151371,INF740KA1SI2,INF740KA1SJ0,DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Direct - IDCW,10.3348,24-May-2023
5781,151370,INF740KA1SE1,-,DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Regular - Growth,10.3298,24-May-2023
5782,151372,INF740KA1SF8,INF740KA1SG6,DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Regular - IDCW,10.3298,24-May-2023
5783,150671,INF754K01PF9,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan - Growth,10.8341,24-May-2023
5784,150722,INF754K01PG7,INF754K01PH5,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Direct Plan - IDCW Option,10.834,24-May-2023
5785,150720,INF754K01PB8,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Regular Plan - Growth,10.8148,24-May-2023
5786,150721,INF754K01PC6,INF754K01PD4,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Regular Plan - IDCW Option,10.8148,24-May-2023
5787,150727,INF754K01PN3,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Direct Plan - Growth,10.5706,24-May-2023
5788,150770,INF754K01PO1,INF754K01PP8,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Direct Plan - IDCW,10.5699,24-May-2023
5789,150771,INF754K01PJ1,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Regular Plan - Growth,10.555,24-May-2023
5790,150772,INF754K01PK9,INF754K01PL7,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Regular Plan - IDCW,10.5554,24-May-2023
5791,150807,INF754K01PV6,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Direct Plan - Growth,10.5694,24-May-2023
5792,150850,INF754K01PW4,INF754K01PX2,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Direct Plan - IDCW,10.5696,24-May-2023
5793,150848,INF754K01PR4,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Regular Plan - Growth,10.5541,24-May-2023
5794,150849,INF754K01PS2,INF754K01PT0,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Regular Plan - IDCW,10.5541,24-May-2023
5795,151365,INF754K01RK5,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index fund - Direct Plan - Growth,10.3013,24-May-2023
5796,151397,INF754K01RL3,INF754K01RM1,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index fund - Direct Plan - IDCW,10.3015,24-May-2023
5797,151398,INF754K01RG3,-,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index fund - Regular Plan - Growth,10.2879,24-May-2023
5798,151399,INF754K01RH1,INF754K01RI9,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index fund - Regular Plan - IDCW,10.288,24-May-2023
5799,149945,INF754K01OH8,INF754K01OI6,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Direct Plan - IDCW Payout,10.51,24-May-2023
5800,149950,INF754K01OG0,-,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Direct Plan Growth,10.5094,24-May-2023
5801,149947,INF754K01OD7,INF754K01OE5,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Regular Plan - IDCW Payout,10.4851,24-May-2023
5802,149949,INF754K01OC9,-,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Regular Plan Growth,10.4847,24-May-2023
5803,148556,INF754K01LW3,INF754K01LX1,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund - Direct Plan - IDCW Option,12.4658,23-May-2023
5804,148558,INF754K01LS1,INF754K01LT9,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund - Regular Plan - IDCW Option,12.2779,23-May-2023
5805,148555,INF754K01LV5,-,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Direct Plan - Growth,12.4658,23-May-2023
5806,148557,INF754K01LR3,-,Edelweiss MSCI India Domestic & World Healthcare 45 index Fund Regular Plan - Growth,12.2779,23-May-2023
5807,149254,INF754K01NJ6,-,Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan Growth,10.3634,24-May-2023
5808,149255,INF754K01NK4,INF754K01NL2,Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan IDCW,10.2184,24-May-2023
5809,149256,INF754K01NF4,-,Edelweiss Nifty 100 Quality 30 Index Fund Regular Plan Growth,10.2556,24-May-2023
5810,149257,INF754K01NG2,INF754K01NH0,Edelweiss Nifty 100 Quality 30 Index Fund Regular Plan IDCW,10.2552,24-May-2023
5811,149250,INF754K01NB3,-,Edelweiss Nifty 50 Index Fund Direct Plan Growth,10.4997,24-May-2023
5812,149251,INF754K01NC1,INF754K01ND9,Edelweiss Nifty 50 Index Fund Direct Plan IDCW,10.3543,24-May-2023
5813,149252,INF754K01MX9,-,Edelweiss Nifty 50 Index Fund Regular Plan Growth,10.2765,24-May-2023
5814,149253,INF754K01MY7,INF754K01MZ4,Edelweiss Nifty 50 Index Fund Regular Plan IDCW,10.2763,24-May-2023
